Indicateur calculé;Facteur de lumière du jour [%]
Nom du projet;60cm AVANT CALCUL
Localisation;PARIS_ ORLY (48.73N, 2.4E)
Fuseau horaire;UTC+1:00
Résultats;C:/Users/ldantoni/Desktop/60cm/résultats
Niveau de détails;simple (environ 1 capteur par 4 m²)
Unités des résultats;pourcentage
Calculé;02 Juil 2020 15:04 avec DL-Light 11.0.8

ID surface;Nom de la surface;Aire de la surface [m2];Valeur moyenne [%];Valeur médiane [%];0.0;0.5;0.7;1.0;1.2;1.5;1.8;2.5;3.0;5.0;7.0;Grille;Commentaires
126;126;12.15;2.32;2.21;0.0;0.0;0.0;14.02;19.1;7.01;25.66;0.0;34.21;0.0;0.0;simple (environ 1 capteur par 4 m²);""
